Genus_Species,male_mass,male_mass_n,male_mass_sd,male_logmass_sd,female_mass,female_mass_n,female_mass_sd,female_logmass_sd,male_shoulder_height,female_shoulder_height,female_mean_psl,female_psl_n,Tribe,Genus,n,mean_ant_vol,max_ant_vol,mean_psl,mean_mbl,max_mbl,mean_ant_area,mean_vol_by_area,se_raw_ant_vol,se_raw_psl,se_raw_mbl,log_ant_vol,log_psl,log_mbl,log_ant_area,log_ant_vol_sd,log_psl_sd,log_mbl_sd,log_ant_area_sd,log_psl_var_est,log_vol_var_est,log_mbl_var_est,log_area_var_est,Rudimentary,BGS,Plard_MBL,Plard_MaleMass,Plard_FemaleMass,CB_MBL,CB_Shoulder,male_logmass_se,female_logmass_se,SSD_mass,SSD_psl,SSD_SH,log_ant_vol_se,log_psl_se,log_mbl_se,log_area_se
Dama_dama,70.00344828,174,11.20357086,0.153617208,39.68333333,180,3.579039509,0.092969003,93.22,NA,9.316666667,6,Cervini,Dama,25,1.0307648,1.943867,11.57708333,52.8848,70.3,8.993004,5.540790169,0.091851551,0.232565637,1.542992884,0.030301051,2.449027569,3.968115963,2.196446942,0.48070857,0.092045888,0.149524272,0.369379414,0.007514119,0.234851159,0.026617263,0.137924459,no,C,61.5,67,44,72.9,91,0.01164569,0.0069295,0.567613218,0.217222658,NA,0.096922889,0.017336804,0.032629596,0.074276365
Dama_mesopotamica,130,1,NA,0.105858446,NA,NA,NA,0.088979503,105,NA,NA,NA,Cervini,Dama,2,1.053666,1.28807,13.18299684,51,52.8,7.72575,6.762918617,0.234404,NA,1.8,0.052275512,2.578927881,3.931825633,2.044558905,0.4502728,0.065298245,0.179084633,0.343161664,0.004810684,0.241496623,0.038967053,0.13887436,no,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.347488577,0.049044288,0.139583403,0.263509354
Elaphodus_cephalophus,18,1,NA,0.105858446,18,1,NA,0.088979503,60,NA,6.825,4,Muntiacini,Elaphodus,6,0.000898667,0.002083,6.56,1.358333333,2.05,0.03515,1.101764127,0.000304629,0.199164923,0.179079436,-7.014598375,1.880990603,0.306258458,-3.348130661,0.871677735,0.073909839,0.312736917,0.564726832,0.005088347,0.44722551,0.062637354,0.18437437,yes,A,2.5,18,18,NA,NA,0.105858446,0.088979503,0,-0.039601738,NA,0.273015723,0.029121432,0.10217416,0.175297067
Elaphurus_davidianus,214.5,1,NA,0.105858446,149.7,1,NA,0.088979503,115.55,NA,13.2,1,Cervini,Elaphurus,7,2.010099714,3.532968,15.08571429,73.44285714,94.1,17.95387143,6.472003362,0.287860458,0.192945306,4.162437309,0.69818433,2.713748222,4.29650765,2.88780577,0.340951393,0.03371688,0.146534446,0.431832974,0.003349334,0.189794933,0.031818826,0.153310248,no,C,73.7,214,159,73.7,116.8,0.105858446,0.088979503,0.359676447,0.133531393,NA,0.164661962,0.021874101,0.067420669,0.147991432
Hippocamelus_antisensis,57.5,1,NA,0.105858446,31.86512169,NA,NA,0.088979503,79.13333333,70,8.308532844,NA,Odocoileini,Hippocamelus,4,0.26295875,0.334823,9.9,24.56,27.7,2.6803,4.817905166,0.034899877,0.6244998,1.516371766,-1.335758103,2.292534757,3.201119103,0.985928729,0.4502728,0.065298245,0.179084633,0.343161664,0.004717289,0.234310961,0.037680513,0.136560308,no,C,NA,NA,NA,26.4,86.4,0.105858446,0.088979503,0.5902729,0.175251717,0.122638951,0.242028387,0.034341262,0.097057346,0.184770336
Hippocamelus_bisulcus,95,1,NA,0.105858446,75,1,NA,0.088979503,96.9,NA,10.4,2,Odocoileini,Hippocamelus,4,0.2423235,0.390145,10.625,26.8375,32.9,3.182175,4.163328057,0.058791383,0.335099488,2.436046575,-1.417481669,2.363209715,3.289800163,1.157564925,0.4502728,0.065298245,0.179084633,0.343161664,0.004717289,0.234310961,0.037680513,0.136560308,no,B,30,95,75,24.8,96.9,0.105858446,0.088979503,0.236388778,0.021403909,NA,0.242028387,0.034341262,0.097057346,0.184770336
Mazama_americana,24.5,1,NA,0.105858446,24.5,1,NA,0.088979503,69.8,NA,7.718181818,11,Odocoileini,Mazama,23,0.015518652,0.03402,7.679782609,8.575217391,12.3,0.321221739,2.321268375,0.00149051,0.138152504,0.439006635,-4.165712612,2.038591241,2.148876344,-1.135623618,0.473888131,0.090875909,0.248307055,0.343940447,0.007298392,0.230295407,0.055994778,0.12728661,yes,A,11.5,24.5,24.5,11.5,69.8,0.105858446,0.088979503,0,-0.00498758,NA,0.100064198,0.017813517,0.049341216,0.074392207
Mazama_bricenii,10.5,1,NA,0.105858446,NA,NA,NA,0.088979503,47.5,NA,NA,NA,Odocoileini,Mazama,2,0.006056,0.006678,6.3,6.775,7.45,0.17875,1.685818792,0.000622,0.5,0.675,-5.106705763,1.840549633,1.913239367,-1.721767097,0.4502728,0.065298245,0.179084633,0.343161664,0.004810684,0.241496623,0.038967053,0.13887436,yes,unknown,NA,18,18,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.347488577,0.049044288,0.139583403,0.263509354
Mazama_gouazoubira,18,1,NA,0.105858446,18,1,NA,0.088979503,56,NA,6.566666667,3,Odocoileini,Mazama,9,0.009155778,0.019203,6.316666667,8.044444444,11.25,0.237188889,1.877679663,0.001370925,0.148136574,0.672084467,-4.693370148,1.843191643,2.084981722,-1.438898456,0.364753472,0.070736908,0.265167776,0.268756286,0.004935822,0.188989377,0.055358502,0.116850041,yes,A,9.25,NA,NA,11.5,56,0.105858446,0.088979503,0,-0.038814704,NA,0.144909695,0.023418467,0.078427959,0.113944451
Mazama_rufina,12.5,1,NA,0.105858446,NA,NA,NA,0.088979503,45,NA,NA,NA,Odocoileini,Mazama,1,0.005745,0.005745,6,6.2,6.2,0.1683,1.706954225,NA,NA,NA,-5.159425368,1.791759469,1.824549292,-1.782007178,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,yes,unknown,NA,NA,NA,9.4,43.6,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Megaloceros_giganteus,575,1,NA,0.105858446,331.3499871,NA,NA,0.088979503,182.88,NA,18.4,1,Cervini,Megaloceros,24,25.62239689,44.251483,21.96708333,161.5419048,217.82,107.4120217,11.74928832,1.413810022,0.145953237,4.217640317,3.240162848,3.089545121,5.084764581,4.67667211,0.260615951,0.032429209,0.123666093,0.214743489,0.002101408,0.113076553,0.021466944,0.083647755,no,unknown,NA,NA,NA,NA,182.88,0.105858446,0.088979503,0.551194861,0.177194456,NA,0.068640535,0.009357279,0.029907457,0.059036625
Muntiacus_atherodes,16,1,NA,0.105858446,NA,NA,NA,0.088979503,65,NA,NA,NA,Muntiacini,Muntiacus,13,0.000622615,0.001495,6.011538462,2.757692308,3.65,0.032569231,0.814247766,0.000135351,0.065082257,0.146415084,-7.38158159,1.793680699,1.01439421,-3.424387278,0.867360638,0.039345766,0.20078836,0.500400451,0.002946633,0.553266221,0.040137585,0.188763716,yes,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.206298182,0.015055367,0.055565336,0.120500149
Muntiacus_crinifrons,23.1,23,NA,0.105858446,24.1,20,NA,0.088979503,55,NA,7.582031325,NA,Muntiacini,Muntiacus,1,0.008772,0.008772,7.3,5.5,5.5,0.2008,2.183133894,NA,NA,NA,-4.736190448,1.987874348,1.704748092,-1.605445891,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,yes,A,3.55,23,24.1,NA,NA,0.022073012,0.019896422,-0.042379223,-0.0379068,NA,0.496461336,0.069810215,0.199650452,0.3745117
